OfferAcceptanceDate,CustomerID,ApplianceID
29/04/2017,2482,1237
02/05/2017,382,1434
08/05/2017,12967,13229
15/05/2017,11452,11645
30/05/2017,7593,7493
03/04/2017,11313,11498
04/04/2017,8001,7961
04/04/2017,14655,15193
06/04/2017,14652,15190
10/04/2017,14843,15494
10/04/2017,14976,237
11/04/2017,13865,14195
11/04/2017,12763,13012
11/04/2017,13579,13888
18/04/2017,10595,10753
19/04/2017,4010,3120
19/04/2017,14788,15407
21/04/2017,2777,1602
25/04/2017,12758,13007
27/04/2017,344,1093
28/04/2017,11053,11233
28/04/2017,14628,15155
20/04/2017,1156,6519
12/04/2017,134,7901
24/04/2017,8396,8403
26/04/2017,4885,4187
28/04/2017,10798,10968
01/05/2017,5880,5444
27/06/2017,8673,8706
01/07/2017,8568,8596
06/04/2017,14649,15187
07/04/2017,11073,11253
11/04/2017,5619,5121
11/04/2017,14217,14568
18/04/2017,14389,14745
03/05/2017,10815,10986
09/06/2017,14220,14571
03/04/2017,8894,8956
04/04/2017,6961,6761
05/04/2017,6326,5993
06/04/2017,971,5243
08/04/2017,6722,6480
08/04/2017,8274,8264
08/04/2017,13609,13920
11/04/2017,7319,7176
12/04/2017,5331,4748
19/04/2017,6103,5719
20/04/2017,13921,14257
21/04/2017,11261,11445
24/04/2017,9122,9205
24/04/2017,10159,10298
26/04/2017,9201,9288
27/04/2017,796,4259
27/04/2017,4180,3327
01/06/2017,7316,7172
01/06/2017,10911,11086
02/06/2017,7835,7773
02/06/2017,8471,8485
05/06/2017,5723,5247
07/06/2017,7106,6935
07/06/2017,10937,11113
08/06/2017,4657,3910
13/06/2017,13756,14081
13/06/2017,13756,14082
15/06/2017,5348,4770
15/06/2017,6233,5876
16/06/2017,9129,9212
19/06/2017,6157,5779
21/06/2017,1428,14949
29/06/2017,11276,11460
29/06/2017,12786,13036
28/03/2017,6455,6159
28/03/2017,13740,14063
29/03/2017,1035,5685
29/03/2017,4241,3404
29/03/2017,272,654
30/03/2017,9259,9350
03/04/2017,9426,9527
05/04/2017,9056,9132
06/04/2017,10891,11064
06/04/2017,10966,11143
06/04/2017,7980,7934
07/04/2017,410,1583
09/04/2017,12030,12249
09/04/2017,8846,8903
10/04/2017,12507,12745
10/04/2017,7212,7053
10/04/2017,3993,3099
10/04/2017,889,4802
11/04/2017,1628,35
11/04/2017,1066,5948
11/04/2017,6572,6297
11/04/2017,2065,718
11/04/2017,5121,4473
11/04/2017,1686,203
11/04/2017,2598,1376
11/04/2017,1444,14968
18/04/2017,254,521
18/04/2017,6383,6068
18/04/2017,3281,2221
18/04/2017,14698,15267
19/04/2017,985,5333
19/04/2017,2330,1058
19/04/2017,8663,8695
20/04/2017,11479,11673
20/04/2017,7051,6868
20/04/2017,8111,8087
21/04/2017,2319,1041
25/04/2017,2571,1344
25/04/2017,2123,796
26/04/2017,5595,5091
26/04/2017,11707,11907
26/04/2017,1841,444
26/04/2017,310,910
28/04/2017,11463,11656
28/04/2017,8613,8642
28/04/2017,10444,10596
28/04/2017,396,1514
28/04/2017,4051,3174
28/04/2017,10633,10793
30/04/2017,2050,700
01/05/2017,4147,3286
01/05/2017,8888,8950
01/05/2017,9035,9110
02/05/2017,9827,9949
02/05/2017,7671,7576
02/05/2017,13553,13861
03/05/2017,1286,7890
03/05/2017,1479,15009
03/05/2017,13251,13534
03/05/2017,11973,12188
03/05/2017,7709,7621
03/05/2017,6677,6422
03/05/2017,605,2942
04/05/2017,11482,11676
04/05/2017,11792,11995
04/05/2017,1653,103
04/05/2017,11683,11883
04/05/2017,2498,1255
04/05/2017,291,768
04/05/2017,7187,7028
04/05/2017,253,517
04/05/2017,11905,12116
04/05/2017,2517,1277
04/05/2017,12925,13181
04/05/2017,8250,8238
05/05/2017,12244,12470
06/05/2017,5154,4514
08/05/2017,238,429
08/05/2017,12595,12839
08/05/2017,5541,5017
08/05/2017,787,4207
08/05/2017,5541,5016
08/05/2017,6245,5891
09/05/2017,5939,5523
09/05/2017,416,1633
09/05/2017,396,1514
09/05/2017,489,2120
09/05/2017,1226,7136
10/05/2017,5355,4781
10/05/2017,12328,12561
10/05/2017,12225,12449
10/05/2017,12225,12450
11/05/2017,6042,5642
15/05/2017,1687,205
15/05/2017,2905,1763
16/05/2017,1471,15001
18/05/2017,4335,3523
22/05/2017,6277,5928
22/05/2017,298,807
22/05/2017,3079,1971
25/05/2017,1204,6908
25/05/2017,2202,889
30/05/2017,13662,13979
31/05/2017,11341,11527
31/05/2017,11341,11526
01/06/2017,6938,6734
02/06/2017,11117,11298
05/06/2017,7606,7508
05/06/2017,6495,6203
06/06/2017,8931,8998
09/06/2017,12976,13238
12/06/2017,9152,9237
19/06/2017,2496,1253
20/06/2017,1513,15085
21/06/2017,2626,1414
22/06/2017,7809,7741
12/06/2017,2287,998
12/06/2017,2287,999
26/06/2017,9841,9963
28/06/2017,10031,10163
29/06/2017,9970,10098
23/06/2017,14918,133
16/03/2017,4668,3924
22/03/2017,12196,12419
31/03/2017,8312,8309
03/04/2017,34,1073
06/04/2017,2426,1172
06/04/2017,7388,7253
07/04/2017,11021,11201
10/04/2017,565,2691
11/04/2017,112,6530
11/04/2017,5335,4754
11/04/2017,5335,4755
18/04/2017,236,425
18/04/2017,7780,7707
19/04/2017,14854,11
20/04/2017,308,898
21/04/2017,4573,3807
30/04/2017,11185,11367
04/05/2017,7167,7000
08/05/2017,4759,4035
09/05/2017,1857,462
16/05/2017,6238,5882
23/05/2017,7577,7475
26/05/2017,5096,4442
31/05/2017,2611,1391
31/05/2017,2523,1283
01/06/2017,5325,4739
02/06/2017,7482,7368
20/06/2017,7450,7328
03/04/2017,7084,6906
04/04/2017,85,4695
05/04/2017,6020,5613
10/04/2017,3319,2271
16/06/2017,484,2086
16/06/2017,13956,14296
03/05/2017,6606,6339
07/04/2017,1770,347
02/04/2017,2511,1271
24/04/2017,191,28
26/04/2017,5826,5384
29/04/2017,6279,5930
15/06/2017,8821,8874
16/06/2017,7513,7404
24/06/2017,13875,14205
12/06/2017,9826,9948
22/06/2017,1516,15160
23/06/2017,10232,10375
04/04/2017,9558,9666
05/04/2017,83,4673
10/04/2017,4198,3349
30/04/2017,331,1024
09/04/2017,11985,12201
11/04/2017,679,3439
11/04/2017,6340,6013
11/04/2017,679,3438
13/04/2017,11297,11481
13/04/2017,8636,8667
18/04/2017,1860,466
19/04/2017,8039,8006
19/04/2017,4413,3620
19/04/2017,934,5051
19/04/2017,12500,12738
19/04/2017,645,3193
21/04/2017,8420,8429
25/04/2017,4166,3312
26/04/2017,1154,6503
26/04/2017,1595,15441
27/04/2017,10957,11133
03/05/2017,1284,7840
04/05/2017,1184,6783
04/05/2017,1135,6362
04/05/2017,4612,3854
08/05/2017,6185,5812
11/05/2017,9069,9147
12/05/2017,3067,1956
13/05/2017,7105,6934
15/05/2017,10939,11115
24/05/2017,4195,3345
01/06/2017,219,335
05/06/2017,2817,1655
13/06/2017,9859,9981
15/06/2017,11863,12070
15/06/2017,8456,8470
17/06/2017,6512,6227
03/04/2017,7522,7414
11/04/2017,9601,9712
13/04/2017,14412,14770
13/04/2017,14470,14879
24/04/2017,7298,7151
28/04/2017,732,3838
01/06/2017,6713,6468
14/06/2017,8346,8345
14/06/2017,1421,14871
14/06/2017,12469,12707
15/06/2017,5120,4472
19/06/2017,7232,7075
29/06/2017,1825,417
07/04/2017,11335,11520
